AppSite,AppFile,AppView,TotalSize,DisplayName,Description
HtmlRule1A,html1A,,1300,"Rule 1A - Simple PlaceHolder (HTML)","Simple placeholder replacement"
HtmlRule1B,html1B,,2214,"Rule 1B - Multiple PlaceHolders (HTML)","Nested placeholder replacement"
HtmlRule2A,html2A,,2057,"Rule 2A - Slotted Markup (HTML)","Single Slotted markup patterns"
HtmlRule2B,html2B,,2692,"Rule 2B - Multiple Slots (HTML)","Multiple Slotted markup patterns"
HtmlRule2C,html2C,,2198,"Rule 2C - Nested Slotted Markup (HTML)","Nested Slotted markup patterns"
HtmlRule2D,html2D,,2243,"Rule 2D - Hierarchy Slotted Markup (HTML)","Hierarchy Slotted markup patterns"
HtmlRule2E,html2E,,3177,"Rule 2E - Multiple Slotted Markup (HTML)","Multiple Slotted markup patterns"
HtmlRule2F,html2F,,3198,"Rule 2F - Multi-Level Slots (HTML)","Hierarchy/Nested Slotted markup patterns"
HtmlRule3A,html3A,,1726,"Rule 3A - Context PlaceHolder (HTML)","Context-based placeholders"
HtmlRule3A,html3A,Html3A,1726,"Rule 3A - AppView: Html3A (HTML)","Context-based placeholders (Html3A view)"
HtmlRule3A,html3A,Html3B,1726,"Rule 3A - AppView: Html3B (HTML)","Context-based placeholders (Html3B view)"
HtmlRule3B,html3B,,1712,"Rule 3B - Nested Context (HTML)","Nested Context-based placeholders"
HtmlRule3B,html3B,Html3A,1712,"Rule 3B - AppView: Html3A (HTML)","Nested Context-based placeholders (Html3A view)"
HtmlRule3B,html3B,Html3B,1712,"Rule 3B - AppView: Html3B (HTML)","Nested Context-based placeholders (Html3B view)"
Index,index,,79689,"Index Page","Index Page using 4 Assembly Rules"
JsonRule1A,json1A,,1478,"Rule 1A - Simple Key Replacement (JSON)","Simple placeholder replacement with JSON data"
JsonRule1B,json1B,,2011,"Rule 1B - Nested Key Replacement (JSON)","Nested placeholder replacement with JSON data"
JsonRule1C,json1C,,3997,"Rule 1C - Hierarchy Key Replacement (JSON)","Hierarchy placeholder replacement with JSON data"
JsonRule1D,index,,1027,"Rule 1D - Duplicate Key Replacement (JSON))","Duplicate placeholder replacement with JSON data"
JsonRule2A,json2A,,2125,"Rule 2A - Array Markup (JSON)","Single Array replacement with JSON data"
JsonRule2B,json2B,,3291,"Rule 2B - Multiple Array Markup (JSON)","Multiple Array replacement with JSON data"
JsonRule2C,json2C,,2627,"Rule 2C - Hierarchy Array Markup (JSON)","Hierarchy Array replacement with JSON data"
JsonRule2D,json2D,,3634,"Rule 2D - Hierarchy/Multiple Array Markup (JSON)","Hierarchy Multiple Array replacement with JSON data"
JsonRule3AHtml2A,Index,,3729,"Rule 3A2A - Nested Placehoder (JSON)","Nested placeholders with HTML and JSON"
JsonRule3AHtml2B,Index,,4958,"Rule 3A2B - Multiple Nested Placehoder (JSON)","Multiple Nested placeholders with HTML and JSON"
